title,company,location,country,country_code,salary_min,salary_max,description,created,contract_type,search_term,url,skills_mentioned,is_remote,salary_avg,posted_date,posted_month
Data Analyst Trainee,ITOL Recruit,UK,United Kingdom,gb,30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",2026-03-10 10:22:24+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5660173992?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=5A3B81A9CB98CF9EAE311BB69AE5E54BCF443649,,0,40000.0,2026-03-10,Mar 2026
Data Analyst Trainee - job guarantee,Newto Training,UK,United Kingdom,gb,52059.71,52059.71,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",2026-02-19 18:28:35+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5636282283?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=83D42DC4C43162FAFFABD6E9EC1DC1B357864884,excel,0,52060.0,2026-02-19,Feb 2026
Data Analyst - No experience needed,Newto Training,UK,United Kingdom,gb,25000.0,78000.0,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",2026-02-19 18:28:35+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5636282287?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=D5595C9DC3FFE28A079A3DAEB80BD363D40B3A86,excel,0,51500.0,2026-02-19,Feb 2026
Data Analyst - No experience needed - job guarantee,Newto Training,UK,United Kingdom,gb,52187.31,52187.31,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",2026-02-19 21:36:30+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5636687365?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=020BF9BDB9952F73DE43B6E54D6FA3AEEB406456,excel,0,52187.0,2026-02-19,Feb 2026
Associate Data Analyst,Babcock ,"Belfast, Northern Ireland",United Kingdom,gb,34353.79,34353.79,"Related Jobs Trainee Data Analyst Associate Trainee Data Analyst Associate - job guarantee Data Analyst Associate - no experience necessary - job guarantee Data Analyst Associate - no experience necessary Data Analyst - Associate Director - Belfast Job Title: Associate Data Analyst Location: Plymouth, Devon  Hybrid Working Arrangements Compensation: £38, 084  Benefits Role Type: Full time / Permanent Role ID: SF70322 At Babcock were working to create a safe and secure world, together, and if yo…",2026-03-08 03:21:39+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5658306656?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=21F32D31537C890D8FB54CA85E6FA5BDDFBDB75A,,1,34354.0,2026-03-08,Mar 2026
Data Analyst,RedCentric,"London, UK",United Kingdom,gb,29800.0,29800.0,"About the Role At RedCentric, data drives our decisions and fuels our growth. We are seeking a skilled Data Analyst to join our team and transform complex data into actionable insights that empower our business strategies. This role offers a unique opportunity to work with diverse datasets, collaborate across departments, and contribute to impactful projects that shape the future of our company. Key Objectives Analyze and interpret data to identify trends, patterns, and opportunities. Deliver c…",2026-03-09 17:39:09+00:00,,data analyst,https://www.adzuna.co.uk/jobs/details/5659484919?utm_medium=api&utm_source=224a9253,,0,29800.0,2026-03-09,Mar 2026
Data Analyst,Reed,"Huddersfield, West Yorkshire",United Kingdom,gb,39000.0,52000.0,"Data Analyst (SystmOne) Huddersfield 3 months (2 days per week/20 hours) A Data Analyst is required for our client who are based in Huddersfield. You will have hands-on experience extracting and working with data from SystmOne. This successful candidate will play a key role in supporting data workflows, reporting, and insight generation across the organisation. Responsibilities Extract, clean, interpret and present data from a variety of systems and sources, including clinical systems such as S…",2026-03-12 17:32:11+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5662520235?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=679D281A011C1F5F96F1AF8A739C2D522162ACA4,,0,45500.0,2026-03-12,Mar 2026
Data Analyst,Oscar Technology,"Oxfordshire, South East England",United Kingdom,gb,50000.0,60000.0,"Job Title: Data Analyst Location: Oxford (Hybrid - 2-3 days per week in office) Industry: Financial Services Salary: £50,000 - £60,000 DOE About the Role A well-known financial services company in Oxford is looking for a proactive Data Analyst to join their analytics team. This role is perfect for someone who enjoys digging into data, uncovering trends, and turning numbers into actionable business insights . You'll work on a variety of projects across finance, operations, and risk, helping to s…",2026-03-05 16:44:15+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5655091897?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=E8736D87D7354CE9B0B9D148739364E889C29E72,,1,55000.0,2026-03-05,Mar 2026
Data Analyst,Lorien,"London, UK",United Kingdom,gb,54623.39,54623.39,"Data Analyst (Snowflake) London/Edinburgh 6 Month Contract Via Umbrella Our UK leading banking client are looking for a Data Engineer to join their team on an initial 6-month contract. Key Skills: Snowflake Agile methodology and working within small multiskilled feature teams. Knowledge of older coding standards and practices. AWS Airflow, Python nice to have. If you find this opportunity intriguing and aligning with your skill set, we welcome the submission of your CV without Guidant, Carbon60…",2026-03-12 13:35:12+00:00,contract,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5662365448?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=8672B5C8D8A620FFB4E19FD16847C2D867A9CDA9,"python, aws, snowflake",0,54623.0,2026-03-12,Mar 2026
Data Analyst,Akkodis,"Bolton By Bowland, Clitheroe",United Kingdom,gb,43370.27,43370.27,"We are looking for a contract Data Analyst The role focuses on leveraging data to optimise low-volume production of complex defence electronics, ensuring quality and efficiency. Responsibilities include analysing datasets across the electronics production lifecycle, identifying trends and anomalies in manufacturing, test, and supply chain data, and implementing data-driven solutions to enhance efficiency, reduce waste, and improve reliability. You will collaborate with electronics engineers, pr…",2026-02-27 14:30:21+00:00,permanent,data analyst,https://www.adzuna.co.uk/jobs/land/ad/5647298246?se=TlLR8sUj8RGVj-2YsGBnNA&utm_medium=api&utm_source=224a9253&v=B04158EB96759AE26D13B6EAC6A0F2D865E836E7,,0,43370.0,2026-02-27,Feb 2026
