title,company,country,salary_avg,is_remote,skills_mentioned,skill
Data Analyst Trainee - job guarantee,Newto Training,United Kingdom,52060.0,0,excel,EXCEL
Data Analyst - No experience needed,Newto Training,United Kingdom,51500.0,0,excel,EXCEL
Data Analyst - No experience needed - job guarantee,Newto Training,United Kingdom,52187.0,0,excel,EXCEL
Data Analyst,Lorien,United Kingdom,54623.0,0,"python, aws, snowflake",PYTHON
Data Analyst,Lorien,United Kingdom,54623.0,0,"python, aws, snowflake",AWS
Data Analyst,Lorien,United Kingdom,54623.0,0,"python, aws, snowflake",SNOWFLAKE
Data Analyst Intern,HK Consultants,United Kingdom,52000.0,0,excel,EXCEL
Data Analyst,Russell Tobin,United Kingdom,53210.0,0,excel,EXCEL
Data Analyst,Russell Tobin,United Kingdom,52690.0,0,excel,EXCEL
Trainee Data Analyst,Newto Training,United Kingdom,42825.0,0,excel,EXCEL
Trainee Data Analyst,Newto Training,United Kingdom,44882.0,0,excel,EXCEL
Trainee Data Analyst,Newto Training,United Kingdom,43643.0,0,excel,EXCEL
Trainee Data Analyst,Newto Training,United Kingdom,44631.0,0,excel,EXCEL
Trainee Data Analyst,Newto Training,United Kingdom,43882.0,0,excel,EXCEL
Senior Data Analyst,Gleeson Recruitment Group,United Kingdom,47500.0,0,"sql, python, power bi, snowflake",SQL
Senior Data Analyst,Gleeson Recruitment Group,United Kingdom,47500.0,0,"sql, python, power bi, snowflake",PYTHON
Senior Data Analyst,Gleeson Recruitment Group,United Kingdom,47500.0,0,"sql, python, power bi, snowflake",POWER BI
Senior Data Analyst,Gleeson Recruitment Group,United Kingdom,47500.0,0,"sql, python, power bi, snowflake",SNOWFLAKE
Data Analyst / Systems Analyst - Immediate Start!,MCS Group,United Kingdom,45000.0,0,excel,EXCEL
Senior Data Analyst - Customer Data,Method Resourcing,United Kingdom,50000.0,1,sql,SQL
Lead Data Analyst,Stackstudio Digital Ltd.,United Kingdom,110500.0,1,"aws, databricks, dbt",AWS
Lead Data Analyst,Stackstudio Digital Ltd.,United Kingdom,110500.0,1,"aws, databricks, dbt",DATABRICKS
Lead Data Analyst,Stackstudio Digital Ltd.,United Kingdom,110500.0,1,"aws, databricks, dbt",DBT
Accounts & Regulatory Data Analyst,Oliver James,United Kingdom,47158.0,0,excel,EXCEL
Data Analyst / BI Analyst,Marks Sattin,United Kingdom,42500.0,0,excel,EXCEL
Graduate Commercial Data Analyst,MSA Data Analytics Ltd,United Kingdom,28500.0,0,excel,EXCEL
"Data Analyst (SQL, Power BI, MS Fabric)",HAYS,United Kingdom,45000.0,0,power bi,POWER BI
Data Analyst - Data Quality & CRM Migration - £40k,Akkodis,United Kingdom,40000.0,0,snowflake,SNOWFLAKE
Technical Business Data Analyst,Lorien,United Kingdom,123500.0,1,sql,SQL
Senior Power BI Data Analyst,Adecco,United Kingdom,44543.0,0,power bi,POWER BI
Senior Consultant_ Data Analyst_ UK,Infosys,United Kingdom,75328.0,0,azure,AZURE
Data Analyst Associate - no experience necessary - job guarantee,Newto Training,United Kingdom,47088.0,0,excel,EXCEL
Data Analyst,Hays Technology,United Kingdom,123500.0,0,"power bi, databricks",POWER BI
Data Analyst,Hays Technology,United Kingdom,123500.0,0,"power bi, databricks",DATABRICKS
Data Analyst,Zorba Consulting Limited,United Kingdom,45000.0,0,power bi,POWER BI
Data Analyst,Belmont Recruitment,United Kingdom,117000.0,1,excel,EXCEL
Data Analyst,Kinetic PLC,United Kingdom,41600.0,1,"power bi, snowflake",POWER BI
Data Analyst,Kinetic PLC,United Kingdom,41600.0,1,"power bi, snowflake",SNOWFLAKE
Business Analyst,MCS Group,United Kingdom,40000.0,1,excel,EXCEL
Business Analyst,Almac Group Ltd,United Kingdom,38445.0,1,excel,EXCEL
Business Analyst,Version 1,United Kingdom,46055.0,0,"aws, snowflake",AWS
Business Analyst,Version 1,United Kingdom,46055.0,0,"aws, snowflake",SNOWFLAKE
Senior Business Analyst,TRG Screen/Axon FS,United Kingdom,50000.0,0,excel,EXCEL
Senior Business Analyst,Version 1,United Kingdom,50088.0,0,"aws, snowflake",AWS
Senior Business Analyst,Version 1,United Kingdom,50088.0,0,"aws, snowflake",SNOWFLAKE
Business Analyst,Harvey Nash,United Kingdom,110500.0,0,excel,EXCEL
Business Analyst,Harvey Nash,United Kingdom,110500.0,0,excel,EXCEL
Business Analyst,Sanderson,United Kingdom,52029.0,0,excel,EXCEL
Senior Business Analyst,Hunter Bond,United Kingdom,47829.0,0,"power bi, tableau",POWER BI
Senior Business Analyst,Hunter Bond,United Kingdom,47829.0,0,"power bi, tableau",TABLEAU
Technical Business Analyst,Valcon,United Kingdom,59900.0,0,excel,EXCEL
Technical Business Analyst,Valcon,United Kingdom,59315.0,0,excel,EXCEL
"Business Analyst, BA (ftc)",Sanderson,United Kingdom,47500.0,0,excel,EXCEL
AX/D365 Business Analyst,Proactive Appointments,United Kingdom,57500.0,1,excel,EXCEL
Senior Business Analyst - Insurance or Pensions,Initialize,United Kingdom,136240.0,0,azure,AZURE
Business Intelligence Analyst,FT Recruitment Group,United Kingdom,45000.0,0,power bi,POWER BI
Senior Business Intelligence Analyst,MSA Data Analytics Ltd,United Kingdom,57500.0,0,power bi,POWER BI
Business Intelligence Analyst,Asset Resourcing,United Kingdom,80000.0,0,"sql, power bi",SQL
Business Intelligence Analyst,Asset Resourcing,United Kingdom,80000.0,0,"sql, power bi",POWER BI
Business Intelligence Analyst,Reed Talent Solutions,United Kingdom,38000.0,0,"sql, power bi",SQL
